"KHz","ID","Type","Active","LSB","USB","Sec","Fmt","'Name' and Location","SP","ITU","Region","GSQ","Lat","Lon","Pwr","Notes","Heard In","Logs","First Logged","Last Logged"
326,"ZEF","NDB","Y","1025","1022","5.83","","&#039;Zephyr&#039;  Elkin","NC","USA","na","EM96ph","36.3125","-80.7083","","!! NORTH CAROLINA NFDD 160 - 3 08/20/2021 ELKIN ZEPHYR NDB IDENT ZEF LAT 36-18-36.1653 N LONG 080-43-34.9483 W
NAVAID STATUS DECOMMISSIONED //  still transmitting as of 09 Jan 2026","AZ  CO  FL  IA  IL  IN  MA  MD  MI  MO  NC  NE  NH  NJ  NS  NY  OH  ON  PA  QC  SC  TN  TX  VA  WI  WV","318","2001-03-07","2026-01-09"
327,"FXC","NDB","Y","403","401","10.4","DAID","Cayenne","","GUF","sa","GJ34tt","4.8125","-52.375","300","20101107 - Don Ward reports, appears as negatively modulated carrier; no sidebands found. Joe F reports offsets as -404 / +401","SCT  IL  MA  MI  NC  NE  NS  NY  OH  PA  SC  TX  VA","110","2005-11-25","2026-02-21"
327,"MVC","NDB","Y","396","406","10.26","DAID","Merville / Calonne","","FRA","eu","JO10hn","50.5625","2.625","","","ENG  BAL  BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GSY  HNG  HOL  HRV  IRL  ITA  LVA  NIR  NOR  POL  RUS  SAR  SCT  SHE  SVK  SVN  SWE  NS","860","1994-12-05","2026-05-21"
327,"VYI","NDB","Y","1043","1037","7.98","","'Valley Island'  Kahului","HI","HWA","oc","BL10sv","20.8958","-156.458","","","AZ  BC  CA  HI  OR  TX  WA  HI","314","2003-10-26","2023-10-18"
327.5,"RE","NDB","Y","2","2","16.15","DAID","Reao","","TUA","oc","CH11sm","-18.4792","-136.458","","Heard by - Dick Palmer","PAQ  AZ  CA  IL  OR","88","2008-07-10","2026-01-01"
328,"5","NDB","Y","","1020","","","UNID","","XUN","xx","","","","","","MO","1","2017-12-29","2017-12-29"
328,"5J","NDB","Y","","395","10.28","DAID","Coronation","AB","CAN","na","DO42gb","52.0625","-111.458","141","","AB  AZ  BC  CA  CO  ID  IL  MO  MT  NE  NS  NV  OH  OR  TN  TX  UT  WA","250","1989-01-01","2026-04-30"
328,"HIG","NDB","Y","1065","1064","10.66","ID+20\"" gap","San Sebastian","","ESP","eu","IN93cj","43.3958","-1.7917","200","","CNR  BAL  BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GRC  GSY  HNG  HOL  IRL  ITA  NIR  NOR  POL  POR  RUS  SAR  SCT  SHE  SUI  SVK  SVN  SWE  NB  NS","618","1983-12-01","2026-02-22"
328,"YTL","NDB","Y","394","401","10.388","DAID","Big Trout Lake","ON","CAN","na","EO53bt","53.8125","-89.875","1000","","FIN  HOL  SCT  SWE  AB  AZ  BC  CA  CO  CT  FL  IA  ID  IL  IN  KS  MA  MD  MI  MN  MO  MS  MT  NB  NC  NE  NH  NJ  NS  NV  NY  OH  ON  OR  PA  QC  SC  TN  TX  UT  VA  VT  WA  WI  HI","1078","1989-12-21","2026-03-03"
328.5,"EGT","NDB","Y","410","404","4.59","","Londonderry / Eglinton","","NIR","eu","IO65kb","55.0625","-7.125","","","BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  HOL  IRL  ITA  NIR  NOR  POL  RUS  SCT  SWE  NS","696","1997-09-11","2026-05-23"
